19950601	4.504935	4.504935	4.504935	4.504935	4.483959	4.483531	4.366178	4.375575	4.385286	4.394683	4.457521	4.551544	4.948408	5.480255	5.8922	6.209583	6.716072	7.115989
19950602	4.542948	4.542948	4.542948	4.542948	4.487133	4.483469	4.424991	4.403078	4.384485	4.364564	4.425017	4.500056	5.002903	5.509183	5.962896	6.289687	6.789854	7.154575
19950605	4.503186	4.503186	4.503186	4.503186	4.449691	4.448665	4.433319	4.414891	4.399256	4.382503	4.400194	4.499882	4.898404	5.411129	5.85428	6.151523	6.660646	7.066507
19950606	4.51792	4.51792	4.51792	4.51792	4.484	4.46174	4.405738	4.389016	4.373863	4.358186	4.375909	4.473022	4.907568	5.423043	5.838473	6.149161	6.600255	7.016539
19950607	4.447544	4.447544	4.447544	4.447544	4.492804	4.509114	4.474561	4.465992	4.457129	4.447674	4.56591	4.600527	5.170898	5.676133	6.042481	6.302999	6.754859	7.118644
19950608	4.536737	4.536737	4.536737	4.536737	4.470543	4.451302	4.430935	4.417926	4.403615	4.391473	4.430411	4.511802	5.004019	5.552705	5.924141	6.246642	6.712194	7.09192
19950609	4.569201	4.569201	4.569201	4.569201	4.474723	4.463842	4.462583	4.450228	4.437049	4.425106	4.549995	4.658643	5.237013	5.779312	6.235615	6.540737	6.979372	7.357527
19950612	4.569252	4.569252	4.569252	4.569252	4.474777	4.464458	4.448689	4.435021	4.422633	4.409819	4.466974	4.607511	5.14351	5.726852	6.178323	6.490603	6.996286	7.378567
19950613	4.590858	4.590858	4.590858	4.590858	4.506399	4.474363	4.400786	4.372433	4.341042	4.308638	4.30347	4.437255	4.94451	5.501278	5.961156	6.285039	6.830385	7.23344
19950614	4.528425	4.528425	4.528425	4.528425	4.504941	4.514706	4.387578	4.386651	4.385663	4.384767	4.425628	4.560796	5.098187	5.623225	6.046337	6.332612	6.910296	7.28792
19950615	4.557845	4.557845	4.557845	4.557845	4.494905	4.495267	4.443574	4.436753	4.429478	4.422885	4.478949	4.53762	5.181387	5.710533	6.1264	6.410991	6.970032	7.344489
19950616	4.491582	4.491582	4.491582	4.491582	4.470418	4.451123	4.468345	4.441395	4.413547	4.386597	4.420244	4.493622	5.131854	5.668434	6.098563	6.411606	6.968899	7.346699
19950619	4.526583	4.526583	4.526583	4.526583	4.494441	4.507244	4.487214	4.459307	4.434016	4.407853	4.424776	4.486057	5.091363	5.628673	6.018733	6.313456	6.872359	7.226097
19950620	4.50071	4.50071	4.50071	4.50071	4.499698	4.499785	4.482631	4.453204	4.424726	4.396249	4.430008	4.504097	5.102157	5.632004	6.047705	6.349885	6.921478	7.257925
19950621	4.480452	4.480452	4.480452	4.480452	4.516993	4.54097	4.497258	4.481099	4.462632	4.443588	4.505086	4.566526	5.143578	5.686177	6.098021	6.386002	6.961942	7.284987
19950622	4.526266	4.526266	4.526266	4.526266	4.528637	4.574505	4.468379	4.441094	4.41199	4.384706	4.440892	4.491677	5.013142	5.543826	5.938797	6.256506	6.834616	7.195858
19950623	4.569266	4.569266	4.569266	4.569266	4.54227	4.519458	4.530728	4.513086	4.494857	4.477216	4.568228	4.626358	5.238297	5.742919	6.122448	6.437082	6.974476	7.345671
19950626	4.535835	4.535835	4.535835	4.535835	4.563097	4.566387	4.623408	4.607155	4.592425	4.577188	4.665142	4.763599	5.394396	5.907857	6.249421	6.559466	7.067651	7.406305
19950627	4.510815	4.510815	4.510815	4.510815	4.532072	4.58826	4.604932	4.581691	4.559199	4.536708	4.631023	4.705793	5.354881	5.857003	6.227806	6.537962	7.042612	7.388307
19950628	4.748669	4.748669	4.748669	4.748669	4.648159	4.620398	4.593366	4.569227	4.546596	4.52472	4.587892	4.673362	5.265897	5.756334	6.155547	6.462012	7.004748	7.369068
19950629	4.590582	4.590582	4.590582	4.590582	4.554467	4.559978	4.575229	4.55979	4.543837	4.528399	4.669015	4.732461	5.408111	5.923239	6.297498	6.615085	7.138559	7.502396
19950630	4.616836	4.616836	4.616836	4.616836	4.57496	4.557465	4.548569	4.529306	4.511848	4.493186	4.570974	4.661142	5.323544	5.877885	6.314483	6.61674	7.128837	7.482787
19950703	4.59523	4.59523	4.59523	4.59523	4.595897	4.597153	4.576411	4.562091	4.549114	4.535241	4.615366	4.720092	5.382774	5.913022	6.336878	6.656891	7.187221	7.541725
19950704	4.633028	4.633028	4.633028	4.633028	4.595875	4.589111	4.571101	4.561667	4.552537	4.542494	4.616598	4.692144	5.382122	5.912876	6.336894	6.656805	7.186547	7.541495
19950705	4.496516	4.496516	4.496516	4.496516	4.499627	4.525148	4.534778	4.529943	4.524763	4.519237	4.592673	4.683991	5.307884	5.816672	6.181175	6.490988	7.002863	7.333621
19950706	4.248347	4.248347	4.248347	4.248347	4.368922	4.388986	4.419455	4.429756	4.440056	4.450024	4.560149	4.709305	5.078235	5.599907	5.996248	6.324823	6.866203	7.249632
